image_id,source,mean_intensity,std_intensity,mask_fraction,mask_area_pixels,object_count,mean_object_size,median_object_size,selected_index,strategy
bbbc039_g22_s3_w1,combined,0.05324946716427803,0.07565414160490036,0.2280227690935135,82526.0,119,693.4957983193277,658.0,172,passive
bbbc039_c23_s2_w1,combined,0.03202050179243088,0.04895678535103798,0.1840931624174118,66627.0,105,634.5428571428571,666.0,525,passive
bbbc039_a20_s4_w1,combined,0.09092190116643906,0.12147706747055054,0.22893457114696503,82856.0,120,690.4666666666667,660.0,609,passive
bbbc006_j24_s1,combined,0.35692885518074036,0.12484127283096313,0.2632487714290619,95275.0,71,1341.9014084507041,899.0,118,passive
bbbc039_n12_s7_w1,combined,0.05728132650256157,0.06861414015293121,0.30872291326522827,111733.0,148,754.9527027027027,634.0,42,passive
bbbc006_m06_s1,combined,0.19241587817668915,0.08545129746198654,0.24049513041973114,87040.0,102,853.3333333333334,702.0,359,passive
bbbc039_k06_s9_w1,combined,0.04118439182639122,0.056328341364860535,0.22183078527450562,80285.0,110,729.8636363636364,687.0,395,passive
bbbc006_d14_s2,combined,0.28128570318222046,0.13873697817325592,0.17778514325618744,64344.0,79,814.4810126582279,649.0,312,passive
bbbc006_p06_s1,combined,0.008252659812569618,0.025775566697120667,0.023800840601325035,8614.0,9,957.1111111111111,709.0,2,passive
bbbc039_b23_s1_w1,combined,0.07707798480987549,0.12635836005210876,0.13080790638923645,47342.0,65,728.3384615384615,747.0,510,passive
bbbc006_a08_s2,combined,0.189912348985672,0.10264644771814346,0.16633786261081696,60201.0,60,1003.35,635.5,184,passive
bbbc006_k23_s1,combined,0.03719520568847656,0.07829955965280533,0.13620689511299133,49296.0,52,948.0,871.0,489,passive
bbbc006_a02_s2,combined,0.03058319166302681,0.057915642857551575,0.14612621068954468,52886.0,65,813.6307692307693,650.0,185,passive
bbbc006_p05_s2,combined,0.059595439583063126,0.10332562774419785,0.19097037613391876,69116.0,70,987.3714285714286,809.0,584,passive
bbbc006_l11_s2,combined,0.22951383888721466,0.09380628913640976,0.2523016035556793,91313.0,95,961.1894736842105,828.0,136,passive
bbbc006_p18_s2,combined,0.41323065757751465,0.16225217282772064,0.3046778440475464,110269.0,88,1253.0568181818182,849.5,326,passive
bbbc006_d23_s1,combined,0.3786003291606903,0.150226891040802,0.25105270743370056,90861.0,95,956.4315789473684,747.0,230,passive
bbbc006_k07_s1,combined,0.21313819289207458,0.11453404277563095,0.22679874300956726,82083.0,87,943.4827586206897,734.0,560,passive
bbbc006_p10_s1,combined,0.05642453208565712,0.0910763144493103,0.22392241656780243,81042.0,63,1286.3809523809523,1046.0,520,passive
bbbc006_n13_s1,combined,0.3332025706768036,0.14124007523059845,0.26564711332321167,96143.0,99,971.1414141414141,709.0,456,passive
bbbc039_n07_s5_w1,combined,0.12801027297973633,0.16978198289871216,0.24803824722766876,89770.0,131,685.2671755725191,628.0,406,passive
bbbc039_c19_s4_w1,combined,0.06478039175271988,0.0960903987288475,0.2027381807565689,73375.0,105,698.8095238095239,700.0,177,passive
bbbc006_f12_s1,combined,0.3048841059207916,0.11055564880371094,0.2705570161342621,97920.0,91,1076.043956043956,814.0,381,passive
bbbc006_i04_s1,combined,0.17261876165866852,0.10160468518733978,0.217368483543396,78670.0,91,864.5054945054945,793.0,138,passive
bbbc006_f09_s2,combined,0.23795150220394135,0.09807118028402328,0.2439986765384674,88308.0,84,1051.2857142857142,847.0,180,passive
bbbc006_p17_s2,combined,0.009774868376553059,0.039713215082883835,0.023554928600788116,8525.0,7,1217.857142857143,1090.0,360,passive
bbbc006_i03_s1,combined,0.04113840311765671,0.0643383115530014,0.22055703401565552,79824.0,94,849.1914893617021,745.0,39,passive
bbbc006_b01_s1,combined,0.20811164379119873,0.16650651395320892,0.13586151599884033,49171.0,52,945.5961538461538,741.5,315,passive
bbbc006_l22_s1,combined,0.2691178619861603,0.12285701185464859,0.19826480746269226,71756.0,87,824.7816091954023,718.0,198,passive
bbbc006_n15_s1,combined,0.06253845244646072,0.086347296833992,0.28670424222946167,103764.0,99,1048.121212121212,729.0,256,passive
bbbc006_h21_s2,combined,0.03730876371264458,0.02753317542374134,0.0,0.0,0,0.0,0.0,69,passive
bbbc006_i12_s1,combined,0.1866544634103775,0.14676056802272797,0.12131686508655548,43907.0,53,828.433962264151,722.0,528,passive
bbbc006_c20_s1,combined,0.36881282925605774,0.1283811777830124,0.30691587924957275,111079.0,104,1068.0673076923076,822.5,534,passive
bbbc006_c09_s1,combined,0.27289727330207825,0.13810543715953827,0.27558577060699463,99740.0,91,1096.043956043956,908.0,443,passive
bbbc006_b02_s2,combined,0.15662705898284912,0.07457195967435837,0.20238174498081207,73246.0,84,871.9761904761905,739.5,86,passive
bbbc006_f08_s2,combined,0.23509401082992554,0.09819663316011429,0.28716567158699036,103931.0,95,1094.0105263157895,813.0,293,passive
bbbc006_m04_s1,combined,0.011853973381221294,0.04017752781510353,0.030998563393950462,11219.0,14,801.3571428571429,752.5,287,passive
bbbc039_l06_s4_w1,combined,0.052469782531261444,0.09073125571012497,0.12987953424453735,47006.0,77,610.4675324675325,590.0,496,passive
bbbc006_l13_s2,combined,0.28805723786354065,0.13290700316429138,0.32077255845069885,116094.0,94,1235.0425531914893,780.0,506,passive
bbbc006_g19_s2,combined,0.3500025272369385,0.12770742177963257,0.31376272439956665,113557.0,100,1135.57,880.5,400,passive
bbbc039_n02_s8_w1,combined,0.07404741644859314,0.09149392694234848,0.2897380590438843,104862.0,131,800.4732824427481,676.0,483,passive
bbbc006_h22_s1,combined,0.0553816482424736,0.08908208459615707,0.23811891674995422,86180.0,88,979.3181818181819,871.5,540,passive
bbbc006_j03_s2,combined,0.04249408096075058,0.06091952323913574,0.2518622875213623,91154.0,93,980.1505376344086,787.0,327,passive
